,model_name,fold,score,dataset
90,RBF,3,0.5416666666666666,Statlog (Heart)
91,ELMHebbian,3,0.7750000000000001,Statlog (Heart)
92,Perceptron,4,0.7916666666666667,Statlog (Heart)
93,ELM,4,0.8083333333333333,Statlog (Heart)
94,RBF,4,0.5416666666666666,Statlog (Heart)
95,ELMHebbian,4,0.6916666666666668,Statlog (Heart)
96,Perceptron,5,0.8833333333333334,Statlog (Heart)
97,ELM,5,0.9249999999999999,Statlog (Heart)
98,RBF,5,0.5416666666666666,Statlog (Heart)
99,ELMHebbian,5,0.7083333333333334,Statlog (Heart)
100,Perceptron,6,0.5833333333333334,Statlog (Heart)
101,ELM,6,0.7583333333333334,Statlog (Heart)
102,RBF,6,0.5,Statlog (Heart)
103,ELMHebbian,6,0.7416666666666667,Statlog (Heart)
104,Perceptron,7,0.5833333333333335,Statlog (Heart)
105,ELM,7,0.7250000000000001,Statlog (Heart)
106,RBF,7,0.5416666666666666,Statlog (Heart)
107,ELMHebbian,7,0.6666666666666667,Statlog (Heart)
108,Perceptron,8,0.9249999999999999,Statlog (Heart)
109,ELM,8,0.8583333333333333,Statlog (Heart)
110,RBF,8,0.5833333333333334,Statlog (Heart)
111,ELMHebbian,8,0.9333333333333333,Statlog (Heart)
112,Perceptron,9,0.9,Statlog (Heart)
113,ELM,9,0.9,Statlog (Heart)
114,RBF,9,0.6333333333333333,Statlog (Heart)
115,ELMHebbian,9,0.9,Statlog (Heart)
116,Perceptron,10,0.7250000000000001,Statlog (Heart)
117,ELM,10,0.7583333333333334,Statlog (Heart)
118,RBF,10,0.625,Statlog (Heart)
119,ELMHebbian,10,0.6166666666666667,Statlog (Heart)
